,Smiles,S_Hit
65076,OCCCCN1C(=O)c2ccc3C(=O)N(CCCCO)C(=O)c4ccc(C1=O)c2c34,Yes
65083,CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C,Yes
65084,Cc1ccc2c(C)nc(Nc3nc(C)cc(n3)c4ccccc4)nc2c1,Yes
65085,Cc1cc(C)c2nc(sc2c1)N3CCC(CC3)C(=O)NCCCN4CCC(CC4)N5CCCCC5,Yes
65086,Brc1ccc2OCC(=Cc2c1)C(=O)NCCCN3CCC(CC3)N4CCCCC4,Yes
65089,CCOC(=O)C1=CN(C)C=C(C1c2cc(Br)c(OCC)c(OC)c2)C(=O)OCC,Yes
65090,CCOc1c(Br)cc(cc1OC)C2C(=CN(C)C=C2C(=O)OC)C(=O)OC,Yes
65092,CC(C)(C)CC(C)(C)NCC(O)COc1ccc2CCCc2c1,Yes
65093,Cc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)cc1,Yes
65094,Cc1ccc(C)c(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)c1,Yes
65095,Cc1ccc(Cl)cc1N2CCN(CCCNC(=O)C3CCN(CC3)c4nc5ccccc5[nH]4)CC2,Yes
65097,N1(CC(=O)c(ccc(Cl)c2Cl)c2)c3c(cccc3)N(CCN4CCCCC4)C1=N,Yes
65098,OC(CN1C(=N)N(CCN2CCCCC2)c3ccccc13)c4cccc(Br)c4,Yes
65099,CCN(CC)CCN1C(=N)N(CC(O)c2ccc(Cl)c(Cl)c2)c3ccccc13,Yes
65100,CCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13,Yes
65101,CCCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13,Yes
65102,n1(CCc2ccccc2F)c3c(nc4c(cccc4)n3)c(C(=O)NCC(C)C)c1N,Yes
65107,Oc1ccc(cc1)c2nc(c3ccc4oc5ccc(cc5c4c3)c6[nH]c(nc6c7ccccc7)c8ccc(O)cc8)c([nH]2)c9ccccc9,Yes
65109,c12c(nc(c3ccc(OC)cc3)nc1N4CCN(C(=O)C5CCCCC5)CC4)sc(CCCC6)c26,Yes
65110,Oc1ccccc1CNCC23CC4CC(CC(C4)C2)C3,Yes
65111,C1(=NC(N(C)C2=O)=O)C2=NC(=NN1CC)c3ccc(C(=O)OC)cc3,Yes
